Q01,1,Quiet Zone,quiet,AVAILABLE
Q02,1,Quiet Zone,quiet,RESERVED
Q03,1,Quiet Zone,quiet,AVAILABLE
Q04,1,Quiet Zone,quiet,AVAILABLE
Q05,1,Quiet Zone,quiet,AVAILABLE
Q06,1,Quiet Zone,quiet,RESERVED
G07,1,Group Zone,group,AVAILABLE
G08,1,Group Zone,group,AVAILABLE
G09,1,Group Zone,group,AVAILABLE
Q10,2,Quiet Zone,quiet,AVAILABLE
Q11,2,Quiet Zone,quiet,AVAILABLE
Q12,2,Quiet Zone,quiet,AVAILABLE
G01,2,Group Zone,group,AVAILABLE
G02,2,Group Zone,group,AVAILABLE
G03,2,Group Zone,group,AVAILABLE
G04,2,Group Zone,group,AVAILABLE
G05,2,Group Zone,group,AVAILABLE
G06,2,Group Zone,group,AVAILABLE
